;M;F;?;Year;LAT;VERN;
20711;;;1;;1;;
20712;;;1;;1;;
20713;;;1;;;1;
20714;;;1;;;1;
20715;;;1;;;1;
20716;;;1;;;1;
20717;;;1;;;1;
20718;;;1;;;1;
20719;1;;;1400-t;;1;Eyn Ave Maria vor den scriver
20720;;1;;1450;;1;Een Ave Maria voer die ghene (?), diet heven ghescreven
20721;1;;;1400-t;;1;Orate pro me peccatore
20722;;;1;;1;;
20723;;;1;;1;;
20724;;;1;;1;;
20725;;;1;;1;;
20726;;;1;;;1;
20727;1;;;1200-t;1;;Qui scripsit hunc librum
20728;;;1;;1;;
20729;;;1;;;1;
20730;;;1;;;1;
20731;;;1;;;1;
20732;;;1;;1;;
20733;;;1;;1;;
20734;;;1;;;1;
20735;;;1;;1;;
20736;;;1;;;1;
20737;;;1;;1;;
20738;;;1;;1;;
20739;1;;;1300-t;1;;Qui scripsit hunc librum
20740;1;;;1400-t;1;;Ergo, fratres, mente pia
20741;;;1;;1;;
20742;1;;;1453;1;;Ergo scriptoris nomen patriamque tacebo
20743;;;1;;1;;
20744;;;1;;;1;
20745;;;1;;1;;
20746;;;1;;1;;
20747;;;1;;1;;
20748;;;1;;1;;
20749;;;1;;1;;
20750;;;1;;1;;
20751;1;;;1300-t;1;;qui scripsit sit benedictus
20752;1;;;1288;1;;qui scripsit sit benedictus
20753;1;;;1300-t;1;;qui scripsit sit benedictus
20754;1;;;1200-t;1;;qui scripsit sit benedictus
20755;;;1;;1;;
20756;1;;;800-t;1;;qui scripsit sit benedictus
20757;1;;;1300-t;1;;qui scripsit sit benedictus
20758;1;;;1300-t;1;;qui scripsit sit benedictus
20759;1;;;1300-t;1;;qui scripsit sit benedictus
20760;;;1;;1;;
20761;;;1;;1;;
20762;1;;;1317;1;;scriptori tradite potum
20763;1;;;1200-t;1;;sit scriptor crimine liber
20764;1;;;1200-t;1;;ludere scriptor eat
20765;;;1;;1;;
20766;;;1;;;1;
20767;;;1;;1;;
20768;;;1;;1;;
20769;;;1;;1;;
20770;;;1;;1;;
20771;;;1;;1;;
20772;;;1;;1;;
20773;;;1;;;1;
20774;;;1;;1;;
20775;;;1;;;1;
20776;;;1;;1;;
20777;;;1;;1;;
20778;;;1;;1;;
20779;;;1;;1;;
20780;;;1;;1;;
20781;;;1;;1;;
20782;1;;;1300-t;1;;sit possessor et scriptor
20783;;;1;;1;;
20784;;;1;;1;;
20785;;;1;;1;;
20786;1;;;1453;1;;qui scripsit sit benedictus
20787;;;1;;1;;
20788;;;1;;1;;
20789;;;1;;1;;
20790;;;1;;1;;
20791;;;1;;1;;
20792;;;1;;;1;
20793;;;1;;1;;
20794;1;;;1400-t;1;;Et qui scribi fecit, sit benedictus 
20795;;;1;;1;;
20796;;;1;;1;;
20797;;;1;;1;;
20798;;;1;;1;;
20799;;;1;;1;;
20800;;;1;;1;;
20801;;;1;;1;;
20802;;;1;;1;;
20803;;;1;;1;;
20804;;;1;;1;;
20805;;;1;;1;;
20806;;;1;;1;;
20807;;;1;;1;;
20808;;;1;;1;;
20809;;;1;;1;;
20810;;;1;;1;;
20811;;;1;;1;;
20812;;;1;;1;;
20813;;;1;;1;;
20814;;;1;;1;;
20815;;;1;;;1;
20816;;;1;;1;;
20817;;;1;;1;;
20818;;;1;;1;;
20819;;;1;;1;;
20820;;;1;;1;;
20821;;;1;;1;;
